X-time;Y-g
25.175;-0.0471
25.2;-0.0433
25.225;-0.0387
25.25;-0.0682
25.275;-0.0429
25.3;-0.1213
25.325;-0.0556
25.35;-0.116
25.375;-0.0418
25.4;-0.1211
25.425;-0.0475
25.45;-0.1105
25.475;-0.0249
25.5;-0.0521
25.525;-0.0506
25.55;-0.0215
25.575;-0.0173
